Region,ISO3,Country,Year,Lvl1_name,Lvl2_name,Category,Value
AMR,ATG,Antigua and Barbuda,2007,Nursing Personnel,Nursing Personnel not further defined,Total,277
AMR,ATG,Antigua and Barbuda,2007,Medical and Pathology Laboratory Technicians,Medical and Pathology Laboratory Technicians,Total,8
AMR,ATG,Antigua and Barbuda,2007,Environmental and Occupational Health and Hygiene Professionals,Environmental and Occupational Health and Hygiene Professionals,Total,21
AMR,ATG,Antigua and Barbuda,2007,Optometrists and Ophthalmic Opticians,Optometrists and Ophthalmic Opticians,Total,3
AMR,ATG,Antigua and Barbuda,2007,Social work and counselling professionals,Social work and counselling professionals,Total,5
AMR,ATG,Antigua and Barbuda,2014,Dental Assistants and Therapists,Dental Assistants and Therapists,Total,7
AMR,ATG,Antigua and Barbuda,2017,Medical Doctors,Medical Doctors not further defined,Total,264
AMR,ATG,Antigua and Barbuda,2019,Nursing Personnel,Nursing Associate Professionals,Total,42
AMR,ATG,Antigua and Barbuda,2019,Community Health Workers,Community Health Workers,Total,34
AMR,ATG,Antigua and Barbuda,2024,Medical Doctors,General Medical Practitioners,Total,226
AMR,ATG,Antigua and Barbuda,2024,Medical Doctors,Specialist Medical Practitioners,Total,179
AMR,ATG,Antigua and Barbuda,2024,Nursing Personnel,Nursing Professionals,Total,372
AMR,ATG,Antigua and Barbuda,2024,Midwifery Personnel,Midwifery Professionals,Total,104
AMR,ATG,Antigua and Barbuda,2024,Dentists,Dentists,Total,22
AMR,ATG,Antigua and Barbuda,2024,Pharmacists,Pharmacists,Total,85
AMR,ATG,Antigua and Barbuda,2024,Dieticians,Dieticians,Total,2
AMR,ATG,Antigua and Barbuda,2024,Nutritionists,Nutritionists,Total,7
AMR,ARG,Argentina,1992,Medical and Pathology Laboratory scientists,Medical and Pathology Laboratory scientists,Total,7500
AMR,ARG,Argentina,1992,Environmental and Occupational Health and Hygiene Professionals,Environmental and Occupational Health and Hygiene Professionals,Total,1000
AMR,ARG,Argentina,1992,Physiotherapy Technicians and Assistants,Physiotherapy Technicians and Assistants,Total,6000
AMR,ARG,Argentina,1992,Social work and counselling professionals,Social work and counselling professionals,Total,3300
AMR,ARG,Argentina,1998,Nursing Personnel,Nursing Personnel not further defined,Total,29000
AMR,ARG,Argentina,2023,Medical Doctors,General Medical Practitioners,Total,4495
AMR,ARG,Argentina,2023,Medical Doctors,Specialist Medical Practitioners,Total,51727
AMR,ARG,Argentina,2023,Medical Doctors,Medical Doctors not further defined,Total,175473
AMR,ARG,Argentina,2023,Nursing Personnel,Nursing Professionals,Total,209803
AMR,ARG,Argentina,2023,Nursing Personnel,Nursing Associate Professionals,Total,79132
AMR,ARG,Argentina,2023,Midwifery Personnel,Midwifery Professionals,Total,6458
AMR,ARG,Argentina,2023,Dentists,Dentists,Total,49356
AMR,ARG,Argentina,2023,Pharmacists,Pharmacists,Total,26314
AMR,ARG,Argentina,2023,Physiotherapists,Physiotherapists,Total,35556
AMR,ARG,Argentina,2023,Dieticians,Dieticians,Total,49466
AMR,ARG,Argentina,2023,Nutritionists,Nutritionists,Total,23221
AMR,ARG,Argentina,2023,Audiologists and Speech Therapists,Audiologists and Speech Therapists,Total,11489
AMR,ARG,Argentina,2023,Psychologists,Psychologists,Total,113477
AMR,BHS,Bahamas,2008,Ambulance Workers,Ambulance Workers,Total,18
AMR,BHS,Bahamas,2011,Nursing Personnel,Nursing Personnel not further defined,Total,1458
AMR,BHS,Bahamas,2011,Dental Assistants and Therapists,Dental Assistants and Therapists,Total,40
AMR,BHS,Bahamas,2011,Dental Prosthetic Technicians,Dental Prosthetic Technicians,Total,6
AMR,BHS,Bahamas,2011,Pharmacists,Pharmacists,Total,202
AMR,BHS,Bahamas,2011,Pharmaceutical Technicians and Assistants,Pharmaceutical Technicians and Assistants,Total,90
AMR,BHS,Bahamas,2011,Medical and Pathology Laboratory Technicians,Medical and Pathology Laboratory Technicians,Total,104
AMR,BHS,Bahamas,2011,Medical Imaging and Therapeutic Equipment Technicians,Medical Imaging and Therapeutic Equipment Technicians,Total,56
AMR,BHS,Bahamas,2011,Physiotherapists,Physiotherapists,Total,55
AMR,BHS,Bahamas,2011,Physiotherapy Technicians and Assistants,Physiotherapy Technicians and Assistants,Total,4
AMR,BHS,Bahamas,2011,Dieticians,Dieticians,Total,7
AMR,BHS,Bahamas,2011,Nutritionists,Nutritionists,Total,1
AMR,BHS,Bahamas,2011,Audiologists and Speech Therapists,Audiologists and Speech Therapists,Total,9
AMR,BHS,Bahamas,2011,Optometrists and Ophthalmic Opticians,Optometrists and Ophthalmic Opticians,Total,11
AMR,BHS,Bahamas,2017,Medical Doctors,Medical Doctors not further defined,Total,740
AMR,BHS,Bahamas,2017,Dentists,Dentists,Total,99
AMR,BHS,Bahamas,2018,Engineering and maintenance staff,Engineering and maintenance staff,Total,15
AMR,BHS,Bahamas,2018,Other non-medical professional staff,Other non-medical professional staff,Total,13
AMR,BHS,Bahamas,2023,Nursing Personnel,Nursing Professionals,Total,1332
AMR,BHS,Bahamas,2023,Nursing Personnel,Nursing Associate Professionals,Total,355
AMR,BRB,Barbados,2005,Medical Imaging and Therapeutic Equipment Technicians,Medical Imaging and Therapeutic Equipment Technicians,Total,12
AMR,BRB,Barbados,2005,Environmental and Occupational Health and Hygiene Professionals,Environmental and Occupational Health and Hygiene Professionals,Total,102
AMR,BRB,Barbados,2005,Medical Records and Health Information Technicians,Medical Records and Health Information Technicians,Total,74
AMR,BRB,Barbados,2005,Social work and counselling professionals,Social work and counselling professionals,Total,9
AMR,BRB,Barbados,2017,Medical Doctors,Medical Doctors not further defined,Total,712
AMR,BRB,Barbados,2018,Nursing Personnel,Nursing Personnel not further defined,Total,877
AMR,BRB,Barbados,2022,Audiologists and Speech Therapists,Audiologists and Speech Therapists,Total,3
AMR,BRB,Barbados,2023,Medical Doctors,General Medical Practitioners,Total,677
AMR,BRB,Barbados,2023,Nursing Personnel,Nursing Professionals,Total,1035
AMR,BRB,Barbados,2023,Midwifery Personnel,Midwifery Professionals,Total,133
AMR,BRB,Barbados,2023,Dentists,Dentists,Total,88
AMR,BRB,Barbados,2023,Dental Assistants and Therapists,Dental Assistants and Therapists,Total,20
AMR,BRB,Barbados,2023,Dental Prosthetic Technicians,Dental Prosthetic Technicians,Total,5
AMR,BRB,Barbados,2023,Pharmacists,Pharmacists,Total,327
AMR,BRB,Barbados,2023,Paramedical Practitioners,Paramedical Practitioners,Total,21
AMR,BRB,Barbados,2023,Medical and Pathology Laboratory Technicians,Medical and Pathology Laboratory Technicians,Total,120
AMR,BRB,Barbados,2023,Physiotherapists,Physiotherapists,Total,60
AMR,BRB,Barbados,2023,Dieticians,Dieticians,Total,7
AMR,BRB,Barbados,2023,Nutritionists,Nutritionists,Total,8
AMR,BRB,Barbados,2023,Optometrists and Ophthalmic Opticians,Optometrists and Ophthalmic Opticians,Total,21
AMR,BRB,Barbados,2023,Ambulance Workers,Ambulance Workers,Total,127
AMR,BRB,Barbados,2023,Psychologists,Psychologists,Total,62
AMR,BLZ,Belize,2007,Social work and counselling professionals,Social work and counselling professionals,Total,18
AMR,BLZ,Belize,2009,Environmental and Occupational Health and Hygiene Professionals,Environmental and Occupational Health and Hygiene Professionals,Total,60
AMR,BLZ,Belize,2012,Nursing Personnel,Nursing Personnel not further defined,Total,451
AMR,BLZ,Belize,2017,Midwifery Personnel,Midwifery Personnel not further defined,Total,56
AMR,BLZ,Belize,2019,Dental Assistants and Therapists,Dental Assistants and Therapists,Total,31
AMR,BLZ,Belize,2019,Dental Prosthetic Technicians,Dental Prosthetic Technicians,Total,5
AMR,BLZ,Belize,2021,Medical Doctors,Medical Doctors not further defined,Total,528
AMR,BLZ,Belize,2022,Dentists,Dentists,Total,69
AMR,BLZ,Belize,2022,Pharmacists,Pharmacists,Total,310
AMR,BLZ,Belize,2022,Optometrists and Ophthalmic Opticians,Optometrists and Ophthalmic Opticians,Total,11
AMR,BLZ,Belize,2023,Nursing Personnel,Nursing Professionals,Total,549
AMR,BLZ,Belize,2023,Nursing Personnel,Nursing Associate Professionals,Total,298
AMR,BLZ,Belize,2024,Community Health Workers,Community Health Workers,Total,230
AMR,BOL,Bolivia (Plurinational State of),2001,Midwifery Personnel,Midwifery Personnel not further defined,Total,96
AMR,BOL,Bolivia (Plurinational State of),2001,Dental Assistants and Therapists,Dental Assistants and Therapists,Total,742
AMR,BOL,Bolivia (Plurinational State of),2001,Paramedical Practitioners,Paramedical Practitioners,Total,579
AMR,BOL,Bolivia (Plurinational State of),2001,Audiologists and Speech Therapists,Audiologists and Speech Therapists,Total,424
AMR,BOL,Bolivia (Plurinational State of),2001,Optometrists and Ophthalmic Opticians,Optometrists and Ophthalmic Opticians,Total,316
AMR,BOL,Bolivia (Plurinational State of),2011,Nursing Personnel,Nursing Personnel not further defined,Total,10139
AMR,BOL,Bolivia (Plurinational State of),2011,Medical and Pathology Laboratory Technicians,Medical and Pathology Laboratory Technicians,Total,562
AMR,BOL,Bolivia (Plurinational State of),2011,Medical Imaging and Therapeutic Equipment Technicians,Medical Imaging and Therapeutic Equipment Technicians,Total,264
AMR,BOL,Bolivia (Plurinational State of),2011,Physiotherapy Technicians and Assistants,Physiotherapy Technicians and Assistants,Total,39
AMR,BOL,Bolivia (Plurinational State of),2011,Social work and counselling professionals,Social work and counselling professionals,Total,157
AMR,BOL,Bolivia (Plurinational State of),2017,Medical Doctors,Medical Doctors not further defined,Total,11528
AMR,BOL,Bolivia (Plurinational State of),2019,Traditional and Complementary Medicine Associate Professionals,Traditional and Complementary Medicine Associate Professionals,Total,18
AMR,BOL,Bolivia (Plurinational State of),2021,Medical Doctors,General Medical Practitioners,Total,10089
AMR,BOL,Bolivia (Plurinational State of),2021,Medical Doctors,Specialist Medical Practitioners,Total,5237
AMR,BOL,Bolivia (Plurinational State of),2021,Nursing Personnel,Nursing Professionals,Total,7333
AMR,BOL,Bolivia (Plurinational State of),2021,Nursing Personnel,Nursing Associate Professionals,Total,12058
AMR,BOL,Bolivia (Plurinational State of),2021,Dentists,Dentists,Total,2737
AMR,BOL,Bolivia (Plurinational State of),2021,Pharmacists,Pharmacists,Total,2882
AMR,BOL,Bolivia (Plurinational State of),2021,Pharmaceutical Technicians and Assistants,Pharmaceutical Technicians and Assistants,Total,65
AMR,BOL,Bolivia (Plurinational State of),2021,Traditional and Complementary Medicine Professionals,Traditional and Complementary Medicine Professionals,Total,22
